10010,01-06-1963,Duangkaew,Piveteau,F,24-08-1989
10020,24-12-1952,Mayuko,Warwick,M,26-01-1991
10030,14-07-1958,Elvis,Demeyer,M,17-02-1994
10040,13-09-1959,Weiyi,Meriste,F,14-02-1993
10050,21-05-1958,Yinghua,Dredge,M,25-12-1990
10060,15-10-1961,Breannda,Billingsley,M,02-11-1987
10070,20-08-1955,Reuven,Garigliano,M,14-10-1985
10080,03-12-1957,Premal,Baek,M,19-11-1985
10090,30-05-1961,Kendra,Hofting,M,14-03-1986
10100,21-04-1953,Hironobu,Haraldson,F,21-09-1987
10110,07-03-1957,Xuejia,Ullian,F,22-08-1986
10120,26-03-1960,Armond,Fairtlough,F,06-07-1996
10130,27-04-1955,Nishit,Casperson,M,21-06-1988
10140,11-03-1957,Yucel,Auria,F,14-03-1991
10150,29-01-1955,Zhenbing,Perng,F,16-11-1986
10160,18-10-1953,Debatosh,Khasidashvili,M,30-01-1989
10170,03-10-1960,Kasturi,Jenevein,F,02-01-1986
10180,29-01-1956,Shaw,Wendorf,M,25-02-1986
10190,11-12-1964,Arve,Fairtlough,F,23-06-1986
10200,31-12-1961,Vidya,Awdeh,M,16-10-1985
10210,24-01-1958,Yuping,Alpin,M,10-05-1994
10220,25-05-1958,Kish,Fasbender,F,25-06-1992
10230,11-09-1955,Clyde,Vernadat,M,16-06-1996
10240,01-04-1952,Remko,Maccarone,M,06-10-1998
10250,12-08-1958,Serap,Etalle,M,30-08-1992
10260,14-07-1961,Alper,Suomi,F,13-04-1991
10270,30-01-1963,Bedir,Hartvigsen,F,26-04-1990
10280,29-10-1964,Stabislas,Delgrange,M,18-03-1988
10290,29-05-1957,Yongmao,Pleszkun,M,18-09-1991
10300,12-07-1960,Tadahiko,Ulupinar,F,17-05-1991
10310,29-08-1964,Aksel,Alencar,M,24-10-1990
10320,22-06-1956,Uinam,Stasinski,F,03-11-1988
10330,02-02-1957,Kasturi,Bellmore,M,12-06-1985
10340,20-08-1952,Djelloul,Laventhal,M,05-06-1987
10350,14-11-1954,Kristen,Kavvadias,F,19-08-1990
10360,04-11-1960,Irene,Munck,M,04-09-1996
10370,03-08-1957,Clyde,Fandrianto,M,04-04-1992
10380,25-05-1956,Alejandro,Kamble,F,19-03-1985
10390,07-03-1960,Wanqing,Bratten,M,17-05-1989
10400,16-12-1961,Ortrud,Nitto,M,17-10-1993
10410,19-01-1965,Takahito,Gecsei,F,16-10-1993
10420,03-03-1963,Kaijung,Riesenhuber,M,17-01-1988
10430,30-06-1958,Ferdinand,Chenney,M,16-11-1990
10440,10-04-1959,Akeel,Narahara,F,31-03-1994
10450,05-11-1959,Khun,Harbusch,M,17-01-1990
10460,19-02-1963,Shushma,VanScheik,M,01-07-1994
10470,12-04-1956,Peternela,Iwayama,M,01-06-1988
10480,25-01-1965,Make,Baba,F,18-05-1988
10490,28-09-1961,Huiqun,Vuskovic,F,07-10-1992
10500,29-04-1957,Vojin,Narwekar,M,16-12-1996
10510,13-02-1960,Keung,Slobodova,F,20-04-1990
10520,06-03-1964,Jenwei,Ecklund,M,27-03-1994
10530,19-07-1956,Boriana,Coors,F,23-09-1987
10540,24-02-1961,Martins,Barriga,M,03-05-1994
